"titulo","url","fecha","autores","doi","resumen","citas","accesos","n_refs"
"Stress and stiffness analysis of the multiple corrugated diaphragm under angular load based on plate and shell theory","https://www.nature.com/articles/s41598-025-33904-9","31 December 2025","Cao, Angang; Jin, Huiting; Li, Wei; Jiang, Shiquan","10.1038/s41598-025-33904-9","The Multiple Corrugated Diaphragm(MCD) couplings, as a new type of flexible coupling, exhibit complex non-axisymmetric mechanical characteristics under angular loads due to their sinusoidal corrugated structure, posing challenges to traditional analytical methods. This paper aims to establish an efficient analytical model based on plate and shell theory to predict the stress distribution and angular stiffness of the MCD under angular loads. The study combines analytical methods with the finite element method (ANSYS), segments the corrugations, and establishes reasonable boundary conditions to derive analytical formulas for the deflection curve, stress distribution, and stiffness calculation at the maximum deformation section. The results show that the analytical model calculations are highly consistent with finite element simulations: the deflection curves follow similar trends, the stress distribution patterns generally match, and the angular stiffness calculation error is within 7%. The findings indicate that the established analytical model effectively captures the core mechanical behavior of the MCD, providing a reliable theoretical basis for the rapid design and optimization of high-performance MCD Couplings.",1,2380,26
"Epidemic dynamics prediction using fractional SIRD and deep learning","https://www.nature.com/articles/s41598-025-34299-3","31 December 2025","Shafqat, Ramsha; Abuasbeh, Kinda; Trabelsi, Salma; Balti, Marwa","10.1038/s41598-025-34299-3","This paper introduces, analyzes, and numerically investigates a fractional-order SIRD epidemic model employing the normalized Caputo-Fabrizio (NCF) derivative. The model incorporates memory effects and explicitly tracks disease-induced mortality through a deceased compartment, offering a more comprehensive framework for epidemic dynamics. We establish existence, uniqueness, positivity, and population conservation for the proposed system, and present a robust numerical scheme. We demonstrate the influence of the memory parameter and kernel normalization through simulations, and highlight their significance for epidemic forecasting and real-world applications. Deep neural network (DNN) was used to approximate SIRD dynamics with fractional order and improve the accuracy of predictions. The model successfully extracted nonlinear time-dependent patterns from simulated epidemic data through its learning process. The proposed framework demonstrated strong predictive ability, achieving mean square error values as low as 0.00027 and root mean square errors below 0.17 across different compartments. By integrating fractional calculus with deep learning techniques, the model establishes a reliable approach for representing complex disease dynamics and provides meaningful insights that can support public health decision-making.",NA,2507,25
"A lightweight dual branch masking network for environmental sound classification","https://www.nature.com/articles/s41598-025-33636-w","31 December 2025","Chen, Guorong; Zhang, Bao; Ding, Zhikang; Xiao, Ke; Guan, Pengyu; Xiao, Xianghan; Wang, Xiaoqiang; Yi, Haixin; Hu, Hong; Zhang, Weijie","10.1038/s41598-025-33636-w","Environmental sound classification (ESC) is crucial for applications such as intelligent surveillance, urban acoustic monitoring, and human-computer interaction. Although deep neural networks (DNNs) have significantly improved ESC performance, these methods often rely on large models and extensive pretraining, making them difficult to deploy in resource-constrained environments. Some existing lightweight models, while having fewer parameters, still suffer from limited representational capacity, leading to suboptimal generalization, especially in low-data scenarios. To address these challenges, we propose SpectroMaskNet, a compact dual-branch architecture. This design integrates global-local attention mechanisms with block-masked spectrogram augmentation, allowing the model to capture both long-term temporal dependencies and fine-grained spectral features. This enhances robustness and generalization, particularly in data-scarce situations. Experimental results on four benchmark datasets–ESC-10, ESC-50, UrbanSound8K, and SpeechCommandV2–demonstrate that SpectroMaskNet achieves accuracies of 97.50%, 95.50%, 96.32%, and 96.52%, respectively, outperforming existing lightweight baselines without requiring large-scale pretraining. Furthermore, the model maintains low computational complexity, making it well-suited for real-world ESC applications that demand efficiency and scalability.",NA,2556,38
"A novel deep learning approach for intrusion detection in maritime radar networks","https://www.nature.com/articles/s41598-025-34353-0","31 December 2025","Shakil, Md Mostofa Nurannabi; Hossain, Md. Alamgir; Islam, Md. Samiul; Prasad Raju, Nidadavolu Venkat Durga Sai Siva Vara","10.1038/s41598-025-34353-0","In recent years, maritime radar networks have become essential for ensuring the safety and security of maritime operations. However, with the increased interconnectivity of these systems, they have also become vulnerable to cyber-attacks, posing significant risks to critical infrastructure. Traditional intrusion detection systems (IDS) often struggle to detect sophisticated and evolving attacks in real-time due to their reliance on manual feature extraction and shallow machine learning techniques. This research addresses this gap by introducing MARINERNet, a deep learning-based intrusion detection system designed specifically for maritime radar networks. The proposed system uses a novel architecture that integrates 1D convolutional layers, squeeze-and-excitation blocks, and residual connections to automatically extract relevant features from raw radar network data, enhancing detection accuracy without manual intervention. MARINERNet is evaluated on both binary and multiclass classification tasks, demonstrating state-of-the-art performance. Specifically, the model achieves 98.52% accuracy for multiclass classification and perfect accuracy for anomaly detection (binary classification). The approach is scalable, capable of handling large datasets, and adaptable to real-time intrusion detection, making it suitable for deployment in dynamic radar environments. This research not only provides an effective solution for detecting intrusions in maritime radar networks but also contributes to the broader field of cybersecurity by offering a robust, deep learning-based approach that can be applied to other network systems.",2,2959,36
"Development and validation of a quadruplex qPCR assay for simultaneous detection of GPV, GoCV, TMUV, and GAstV-â¡ in geese","https://www.nature.com/articles/s41598-025-34108-x","31 December 2025","Li, Mingxiang; Wang, Min; Wang, Jing; Li, Hao; Wang, Qiang; Yan, Guangwen; Huang, Zengwen","10.1038/s41598-025-34108-x","Co-infections with multiple viruses are common in geese, complicating clinical diagnosis. Here, we developed a quadruplex TaqMan-probe based qPCR method for the simultaneous detection of Goose parvovirus (GPV), Goose circovirus (GoCV), Tembusu virus (TMUV), and Goose astrovirus Ⅱ (GAstV-Ⅱ). Specific primers and hydrolysis probes were designed targeting the following conserved regions: the VP3 gene of GPV, the Rep gene of GoCV, the E gene of TMUV, and the ORF2 gene of GAstV-Ⅱ, respectively. No cross-reactivity was observed with other common avian pathogens, including Goose paramyxovirus (GPMV), Fowl adenovirus (FADV), Newcastle disease virus (NDV, genotype VII ), Escherichia coli (E. coli), Pasteurella multocida (P. multocida). The limits of detection (LOD) for GPV, GoCV, TMUV, and GAstV-Ⅱ were 100, 100, 10, and 100 copies/µL, respectively. Intra- and inter-assay coefficients of variation ranged from 0.03% to 3.3%. Within the linear range of 10¹⁰ to 10⁴ copies/µL, the R² values for each virus were 0.9984, 0.9988, 0.9972, and 0.9978, respectively. The amplification efficiencies were 99.66% for GPV, 99.29% for GoCV, 100.41% for TMUV, and 104.48% for GAstV-Ⅱ. A total of 72 clinical samples collected from diseased goose between 2023 and 2024 were tested using the established method. The detection rates were 23.61% (17/72) for GPV, 13.89% (10/72) for GoCV, 9.72% (7/72) for TMUV, and 52.78% (38/72) for GAstV-Ⅱ. The co-infection rates for two pathogens ranged from 1.39% to 9.72%, while the rate of triple-pathogen mixed infection was 2.78%. In conclusion, a efficient and specific quadruplex qPCR method was successfully developed for the simultaneous detection of GPV, GoCV, TMUV, and GAstV-Ⅱ. This method provides a reliable technical tool for the differential diagnosis and epidemiological investigation of these four goose-origin viruses.",NA,2169,38
"Integrating quarry dust and industrial waste in producing eco-friendly hybrid geopolymer concrete","https://www.nature.com/articles/s41598-025-28913-7","31 December 2025","AL-Mowafy, Ahmed; El-Zoughiby, Mohamed E.; Youssf, Osama","10.1038/s41598-025-28913-7","This paper proposes the production and testing of hybrid geopolymer concrete (HGC) as a sustainable substitute for the well-known traditional slag- and fly ash-based geopolymer concrete. A total of fourteen sustainable HGC were proposed with a variety of quarry dust materials such as granite powder (GP), basalt powder (BP), and dolomite powder (DP) as partial substitutes of fly ash (FA). Additionally, industry waste materials namely, plastic shales (PS), plastic pellets (PP), and crumb rubber (CR) were used as partial substitutes of sand in the proposed HGC. Several variables were investigated including geopolymer binder type, concrete curing methods, and mixing procedures. Heat followed by water (HW) and heat followed by air (HA) curing methods were applied on the proposed HGC. Workability, compressive strength (under ambient and high elevated temperature), splitting tensile strength, and flexural strength were the physical, and mechanical properties measured. The measured properties of HGC were also compared with those of equivalent cement-based concrete mix. Selected HGC mixes were further analyzed using scanning electron microscopy (SEM) and energy dispersive X-ray (EDX) spectroscopy. The results indicated that the proposed HGC is a practical and eco-friendly substitute of both traditional geopolymer and cement-based concrete, as it showed similar or better performance. The compressive strength increased by about 10% when 15% of the FA was replaced by BP or DP. Exposing the proposed concrete to high elevated temperature of 300&nbsp;°C for 2&nbsp;h increased its compressive strength by 20.5% for the control mix, 29.9% for mix contained 15% GP, 2.6% for mix contained 15% BP, 3.4% for mix contained 15% DP, and by 2.4% for mix contained 25% CR. However, all mixes lost strength when exposed to 600&nbsp;°C for 2&nbsp;h. Except for the Control mix, GP mixes, and PP mixes, the HW curing method showed lower strength in all mixtures. All HGC mixes showed better performance than the cement-based concrete. Microstructural analyses showed a thick and even structure for the HGC mixes, supporting their relatively high strength. This study demonstrates the substantial potential of HGC as a revolutionary concrete type for construction that coincides with global sustainability goals and meets contemporary building demands.",2,2173,78
"Three-dimensional large eddy simulation of hydrodynamics in multi-pier tandem bridge systems","https://www.nature.com/articles/s41598-025-34259-x","31 December 2025","Liang, Weiqun; Chen, Xiaobin; Tang, Lubo; Zhang, Jiasheng; Cheng, Jun","10.1038/s41598-025-34259-x","The wake flow generated by tandem bridge piers significantly interferes with downstream flow fields, resulting in complex hydrodynamic interactions that impact structural safety and durability. This study employs large eddy simulation (LES) to investigate the three-dimensional hydrodynamic characteristics of eight equally spaced tandem bridge piers under varying flow velocities (0.5–1.5&nbsp;m/s), spacing ratios (1.5–3.5), and pier numbers (2–10). The results indicate that, under typical conditions, the upstream piers exhibit the highest pressure, which decreases along the flow direction, while the pressure extrema of downstream piers shift laterally. The velocity distribution is asymmetric, and vortex structures evolve from high-intensity small scales to moderate expansion and low-intensity diffusion. The lift coefficient fluctuates periodically with spatial lag, and the drag coefficient shows complex variations, including negative drag on some piers. The downstream vortex shedding frequency decreases, accompanied by multifrequency resonance. Increasing flow velocity stabilizes lift responses for upstream and midstream piers, with the main vortex shedding frequency increasing most in the upstream region and multifrequency phenomena shifting upstream. Larger spacing ratios reduce flow interference, enhance vortex shedding frequencies upstream, and strengthen multifrequency resonance, with triple-frequency resonance observed at terminal piers. An increase in the number of piers improves flow field stability, reduces peak lift, and decreases the occurrence of negative drag. These findings provide theoretical support for bridge monitoring and protection.",NA,1394,52
"Analysis of DNA methyltransferase 3 alpha expression during respiratory syncytial virus strain A infection","https://www.nature.com/articles/s41598-025-34030-2","31 December 2025","Becker, André Luiz; Borges, Sofia Giacomet; Pinheiro, Lucas Gabriel Rodrigues; Nascimento Freitas, Deise; Duarte, Leonardo; Nunes, Eduarda; Cassão, Gisele; Poppe, Juliana; da Silva, Rafaela Pires; Castro, Mariane Schäffer; Fernandes, Krist Antunes; Andrade, Cristiano Feijó; de Oliveira Espinel, Júlio; de Rezende Rodovalho, Vinicius; Vinolo, Marco Aurélio Ramirez; Stein, Renato T.; de Souza, Ana Paula Duarte","10.1038/s41598-025-34030-2","Respiratory syncytial virus (RSV) is a seasonal pathogen known to cause lower respiratory tract infections, including bronchiolitis and pneumonia, and it is associated with an increased risk of developing asthma and recurrent wheezing in pediatric populations. Epigenetic mechanisms, such as DNA methylation and histone modifications, have been implicated in regulating host immune responses during viral infections. In this study, we investigated DNMT3A expression, a de novo DNA methyltransferase, during RSV infection. We queried the Gene Expression Omnibus (GEO) database for RNA-sequencing datasets related to RSV infection. Among the five relevant datasets identified, one demonstrated significantly elevated DNMT3A expression in RSV-infected samples compared to controls. To validate and further examine this finding, we infected MRC-5 cells, a human lung fibroblast cell line, with RSV-A strain (RSV-A2) and accessed DNMT3A expression at different time points using real-time RT-qPCR. We observed an upregulation of DNMT3A expression at 8&nbsp;h post-infection; this induction was decreased in the presence of rapamycin, an inhibitor of the mTOR pathway. Immunofluorescence analysis confirms DNMT3A presence in RSV-infected cells. In vivo analysis revealed a significant increase in Dnmt3a expression in murine lung tissue five days following RSV infection. In ex-vivo RSV-infected pediatric lung tissue sample the DNMT3A gene expression was not increase compared to uninfected tissue. Our findings suggest that RSV modulates DNMT3A expression through mTOR pathway, but this effect is transient and dependent on the sample and the kinetics of infection. Our data highlights a potential epigenetic mechanism involved in the gene expression regulation of the host during infection",1,3152,45
"Self-reported sedentary time and its influencing factors among patients with knee osteoarthritis: a cross-sectional survey","https://www.nature.com/articles/s41598-025-32969-w","31 December 2025","Xing, Dingbi; Jia, Ting; Chen, Yao; Qin, Yi; Zhang, Longyan; Li, Ying; Song, Lingxia","10.1038/s41598-025-32969-w","The purpose of this study was to investigate the prevalence of sedentary behavior among patients with knee osteoarthritis and its associated factors, providing a reference for developing future intervention programs to improve sedentary behaviour in this population. A total of 311 patients with knee osteoarthritis admitted to a tertiary hospital in Guizhou Province were enrolled in the study. Assessments were conducted using the following instruments: a sociodemographic questionnaire, Tampa Kinesiophobia Scale, Knee Function Scale, Social Support Scale, Fatigue Scale, Hospital Anxiety and Depression Scale, and Pittsburgh Sleep Quality Index. Results showed that the median daily sedentary time of the total sample was 5&nbsp;h (range: 4–7&nbsp;h), with 140 patients (45.0%) exhibiting ≥ 6&nbsp;h/day of sedentary time. Logistic regression analysis indicated that female (OR = 0.126, 95% CI 0.033–0.480, P = 0.006), live alone (OR = 0.195, 95% CI 0.042–0.944, P = 0.042), town (OR = 6.502, 95% CI 1.678–25.197, P = 0.007), city&nbsp;(OR=9.652, 95% CI 1.591–58.572, P=0.014), NRS≥ 4 (OR = 4.624, 95% CI 1.471–14.539, P = 0.009), social support (OR = 0.070, 95% CI 0.024–0.208, P &lt; 0.001), anxiety (OR = 4.615, 95% CI 1.523–13.986, P = 0.007), depression (OR = 5.693, 95% CI 1.824–17.776, P = 0.003), fatigue (OR = 5.767, 95% CI 1.907–17.442, P = 0.002), KSS (OR = 0.183, 95% CI 0.045–0.743, P = 0.018), and other factors significantly increased the incidence of sedentary behaviour among patients with knee osteoarthritis. The study revealed that sedentary behaviour is substantial proportion among knee osteoarthritis patients, with extended sedentary periods. Consequently, healthcare providers should emphasize the importance of regular physical activity, employ evidence-based pain management strategies, enhance social support networks, and advise patients to promptly implement measures improving knee function while increasing their awareness of their own sedentary habits.",NA,2465,59
"Enhancement of airflow uniformity in multi-tray dryers through a CFD-integrated sequential linear programming framework","https://www.nature.com/articles/s41598-025-34360-1","31 December 2025","Asrate, Dawit Andualem; Tadle, Fekerte Berhanu; Mihretie, Yordanos Derseh","10.1038/s41598-025-34360-1","Drying is a widely employed preservation method in food processing, aimed at extending shelf life by reducing moisture content, thereby minimizing storage and transportation costs. Despite their widespread use, cabinet-type multi-tray dryers often exhibit non-uniform airflow distribution, leading to inconsistent airflow uniformity. This study presents an optimization framework to enhance airflow uniformity by strategically repositioning supply fans, integrating Computational Fluid Dynamics (CFD) simulations with Sequential Linear Programming (SLP). An L25 orthogonal array guided the CFD experiment design, and a second-order polynomial regression model was developed to correlate the airflow uniformity index (Ui) with fan positions (P1, P2, P3). The optimization, constrained by fixed geometric and operational parameters including a 78.80&nbsp;mm supply gap, 45° baffle angle, 2.74&nbsp;m/s Inlet airflow speed and 315&nbsp;mm fan diameter was conducted for a 32-tray dryer (dimensions: 1420 × 650 × 1600&nbsp;mm). The regression model achieved R² = 0.9247. Incorporating trust-region techniques into the SLP framework significantly improved convergence efficiency: static and dynamic trust-region approaches reduced iterations to 15 and 8, respectively, compared to 661 without trust-region control. These methods adaptively managed step sizes, promoting faster and more stable convergence without compromising accuracy. The MATLAB-based optimization yielded optimal fan positions of P1 = 359.05&nbsp;mm, P2 = 395&nbsp;mm, and P3 = 395&nbsp;mm, achieving a maximum uniformity of 76.5% with 0.2% prediction error. This CFD–SLP integrated approach offers a reliable, scalable, and cost-effective solution for enhancing airflow uniformity in industrial dryers and holds promise for broader applications such as thermal or fluid process optimization tasks across food, pharmaceutical, and chemical industries.",NA,2437,31
"Personality and impulsivity traits associated with problematic online gaming and poker playing","https://www.nature.com/articles/s41598-025-28965-9","31 December 2025","Anci, Eleonora; Rothen, Stephane; Tra, Christophe; Liberacka-Dwojak, Magdalena; Rochat, Lucien; Wiłkosc-Debczynska, Monika; Starcevic, Vladan; Berle, David; Athanasopoulou, Christina; Cruz, Germano Vera; Lee, Seung-Yup; Achab, Sophia; Thorens, Gabriel; Zullino, Daniele; Billieux, Joel; Khazaal, Yasser","10.1038/s41598-025-28965-9","Online gambling and gaming are associated with Problematic Usage of the Internet (PUI) in subgroups of individuals. This study aimed to assess how different personality dimensions are associated with PUI scores of Massively Multiplayer Online Role Playing Games (MMORPG) players and online poker players, and to characterize common and specific personality traits of both groups in their association with PUI. Participants (N = 1144) were recruited online and assessed with the Internet Addiction Test (IAT), the Big Five Inventory and the Short UPPS-P Impulsive Behavior Scale. Data were analyzed with multiple robust linear regression models. The first model tested the associations between personality and impulsivity traits with IAT scores, while controlling for age, gender, and type of online activity. The second model included interaction terms to assess whether these associations differed between MMORPG and poker players. In model 1, neuroticism, negative urgency, positive urgency and sensation seeking were significantly and positively associated with higher IAT scores after controlling for the other personality traits, age, gender, and type of online activity. Extraversion was negatively associated with IAT scores. In Model 2, no significant difference in how these personality traits relate to IAT scores was observed between the two groups. Results highlight that traits such as neuroticism, negative urgency, positive urgency, and sensation seeking constitute potential risk factors for PUI, while extraversion might constitute a protective factor against PUI. The identified associations could be useful in understanding players’ attitudes and supporting them in gaining insight into their difficulties.",NA,3707,81
"Machine learning reveals drivers of cold-related illness during energy infrastructure attacks in Wartime Ukraine","https://www.nature.com/articles/s41598-025-32344-9","31 December 2025","Marvi, Kimia; Sikder, Iftikhar U.; Wang, Shanshan; Espinoza, Juan; Fiedler, Nancy; Pavlova, Julia; Holovanova, Irina; Barrett, Emily S.; Haque, Ubydul","10.1038/s41598-025-32344-9","During the Russian invasion of Ukraine, targeted attacks on energy infrastructure exposed civilians to heightened cold-related health risks. This study aimed to: (1) characterize respiratory infections and cold-related injuries during the conflict; (2) identify vulnerable sociodemographic groups; (3) assess household adaptations; and (4) evaluate how winter preparation influenced health outcomes. We surveyed 2311 households across 24 Ukrainian oblasts during the winter of 2022–2023. One adult per household provided data on demographics, winter preparations, housing, heating, and access to services. Machine learning models were used to predict respiratory infections, symptoms, and cold injuries, based on sociodemographic and household factors. Respiratory infections affected 75.2% of participants, and 3.76% reported cold injuries, rising to 10% among older adults. Larger households experienced more respiratory infections, while areas under Russian control reported higher rates of cold injury. Key predictors of respiratory infections included age, household size, financial stability, and heating practices; cold injuries were predicted by age, region, anxiety, and household size. This is the first study to apply machine learning in examining the health impacts of cold-related events following energy infrastructure attacks in an active conflict zone. Our findings underscore the vulnerability of older adults and the widespread burden of respiratory infections, highlighting the need for targeted cold injury prevention in conflict-affected and cold-climate regions.",1,2136,28
"Analysis of proteins and peptides to investigate the molecular signatures of a conventional antidiabetic herb, Boerhavia procumbens Banks ex Roxb. (Nyctaginaceae)","https://www.nature.com/articles/s41598-025-16474-8","31 December 2025","Hassan, Ghazala; Anjum, Shazia; Ejaz, Samina; Ashraf, Muhammad; Momen, Ayesha","10.1038/s41598-025-16474-8","Boerhavia procumbens Banks ex Roxb. (Nyctaginaceae) is a diuretic herb that is traditionally used to treat diabetes mellitus, a disease having an alarmingly high prevalence rate worldwide. Although various micro molecules present in B. procumbens are known for their antidiabetic roles, the macromolecular constituents have not been studied yet. The current study was therefore planned to identify and characterize the antidiabetic proteins/peptides, if any, present in B. procumbens. Initially the proteins/peptides were extracted, from roots and whole plant of B. procumbens, in sodium phosphate buffers each of concentration 200 mM and of variable pH (range 6–8). The crude extracts were primarily tested for their inhibitory potential against α-glucosidase and α-amylase. The crude extracts with significant inhibitory potential were processed for partial purification of proteins/peptides through the ammonium sulphate (NH4)2SO4 precipitation method. The precipitated proteins/peptides were purified through dialysis, and purified fractions, followed by protein quantification, were tested for anti-α-glucosidase and anti-α-amylase activity. The proteins/peptides mixtures were resolved on SDS PAGE, and prominent gel bands were cut and subjected to LC-MS/MS. All crude extracts were found to strongly inhibit both enzymes (i.e., α-glucosidase and anti-α-amylase). Only 03 proteins/peptides fractions were inhibitory to α-glucosidase (with IC50 range of 137.8 ± 1.2&nbsp;µg/mL- 352.3 ± 1.2&nbsp;µg/mL), while 09 fractions were active against α-amylase (with IC50 range of 24.24 ± 1.8&nbsp;µg/mL to 85.55 ± 4&nbsp;µg/mL). A total of 20 proteins were identified via LC-MS/MS analysis, including 04 well-known antidiabetic proteins, i.e., γ-conglutin, thioredoxin peroxidase, 7S globulin, and Zerumbone synthase enzyme. Our study has provided reliable molecular evidence that assures the antidiabetic potential of B. procumbens and suggests the future extension of work for the purification, functional characterization and therapeutic application of antidiabetic proteins.",NA,2173,82
"Quantum annealing for inverse kinematics in robotics","https://www.nature.com/articles/s41598-025-34346-z","31 December 2025","Salloum, Hadi; Savin, Sergei; Kholodov, Yaroslav; Ryzhakov, Gleb; Farina, Mirko; Oseledets, Ivan","10.1038/s41598-025-34346-z","We study a proof-of-concept workflow that reformulates planar inverse kinematics (IK) for robotic manipulators as a Quadratic Unconstrained Binary Optimization (QUBO) using a linear binary discretization of joint angles and one-hot (big-M) constraints, and then solves the QUBO with quantum annealing on D-Wave hardware. We (i) define and report time-to-solution (TTS) rigorously, (ii) evaluate solution accuracy back in the original IK space via end-effector error and feasibility of one-hot constraints, and (iii) analyze embedding choices on Pegasus/Zephyr. On the tested two-link planar IK instances, Global Embedding on Zephyr uses fewer physical qubits and yields shorter access times than alternatives (see Tables 1,2), and a hybrid quantum-classical solver achieves lower TTS than classical QUBO baselines at larger Q sizes (see Figure 6). These results do not claim superiority over state-of-the-art continuous IK solvers; rather, they demonstrate that an IK-to-QUBO mapping can be executed on current quantum annealing systems with quantified accuracy and runtime, clarifying where such an approach may be useful as hardware improves.",2,2777,46
"PISTOL MRI allows noninvasive assessment of changes in tumor oxygenation post hypoxia targeted therapy","https://www.nature.com/articles/s41598-025-32618-2","31 December 2025","Agarwal, Shubhangi; Damodaran, Lakshmisree; Inge, Landon J.; Kodibagkar, Vikram D.","10.1038/s41598-025-32618-2","Tumor hypoxia has been shown to promote tumor progression, cause resistance to both radiotherapy and chemotherapy and is a marker for poor prognosis. Due to its ability to modulate the clinical outcome, hypoxia has been recognized as a tumor-specific target for development of novel hypoxia-activated/targeted bioreductive pro-drugs. In the present study, a 1H MRI based pO2 measuring technique, PISTOL (Proton Imaging of Siloxanes to map Tissue Oxygenation Levels), was used to determine the baseline oxygenation of pre-clinical models of non-small cell lung cancer (NCI-H1975) and epidermoid carcinoma (A431) and their response to hypoxia-activated pro-drug (HAP) Tirapazamine&nbsp;(TPZ). A431 tumors had lower baseline oxygenation than the NCI-H1975 tumors (p &lt; 0.05). TPZ was effective in slowing the tumor growth only in NCI-H1975 tumors, even though A431 tumors were significantly less oxygenated (50 ± 14 torr for NCI-H1975 vs. 30 ± 11 torr for A431, p &lt; 0.0001) and had similar hypoxic fractions (0.08 ± 0.09 for NCI-H1975 vs. 0.18 ± 0.19 for A431, p &gt; 0.05) pre-treatment.TPZ resulted in a significant decrease (p &lt; 0.05) in the oxygenation of central regions of NCI-H1975 tumor, and an increase in the edema fraction which can be attributed to its reported anti-vascular effect. In conclusion, PISTOL was able to report the changes in tumor oxygenation in both the tumor xenografts over time and in response to therapy. The baseline mean pO2 and hypoxic fraction alone were not a reliable indicator of therapeutic efficacy and the results indicate that other factors (e.g. tumor perfusion and relative expression of nitroreductases) may play an important role in determining efficacy of hypoxia-targeted treatments in conjunction with tumor oxygenation status.",NA,1597,70
"A novel color images security-based on SPN over the residue classes of quaternion integers \(\:\varvec{H}{\left(\mathbb{Z}\right)}_{\varvec{\pi\:}}\)","https://www.nature.com/articles/s41598-025-28678-z","31 December 2025","Sajjad, Muhammad; Alqwaifly, Nawaf A.","10.1038/s41598-025-28678-z","The exponential growth of multimedia data transmission has intensified the demand for advanced image encryption systems capable of resisting contemporary cryptanalytic attacks while maintaining computational efficiency. Conventional encryption schemes often fail to provide sufficient confusion and diffusion when applied to high-dimensional color images. To overcome these challenges, this paper proposes a novel Substitution–Permutation Network (SPN)-based RGB image encryption algorithm constructed over the residue classes of quaternion integers (RQCI’s) $$\:H{\left(Z\right)}_{\pi\:}.$$ &nbsp;The method specifically addresses the problem of limited nonlinearity (NL) and weak algebraic complexity in existing S-box designs by introducing quaternion residue–based nonlinear substitution boxes (S-boxes) that exploit the four-dimensional nature of quaternion algebra (QA). The construction begins with quaternion prime (QP) selection and residue class formation, followed by affine mapping and coefficient decoupling to generate bijective and highly nonlinear S-boxes with strong avalanche characteristics. These S-boxes are then integrated into an SPN framework comprising substitution, permutation, and XOR diffusion layers applied independently to the red, green, and blue channels of an image. The use of quaternion arithmetic increases key sensitivity, expands the transformation space, and enhances resistance against differential, linear, and statistical attacks. Experimental evaluations demonstrate superior quantitative performance, with entropy approaching to the ideal value, Number of Pixel Change Rate (NPCR) exceeding 99.6%, Unified Average Changing Intensity (UACI) around 33.4%, and negligible correlation among adjacent pixels. Comparative results confirm that the proposed scheme achieves greater security and efficiency than existing SPN-based image ciphers. Hence, integrating quaternion residue class algebra with SPN architecture offers a mathematically grounded and practically efficient framework for robust color image encryption suitable for secure digital communication systems.",1,1025,33
"Automated identification of Shankha Prakshalana yoga poses with machine learning techniques","https://www.nature.com/articles/s41598-025-29984-2","31 December 2025","Sharma, Abhishek; Sharma, Vaidehi; Sharma, Premansh; Ladha, Rishikesh; Lamba, Yogesh; Bansal, Sulabh","10.1038/s41598-025-29984-2","This research presents an innovative model for automatically detecting yoga poses, specifically focusing on the yogic kriya known as “Shankha Prakshalana.” The proposed system utilizes advanced computer vision techniques to extract pose features from yoga videos for classification purposes. A carefully annotated dataset comprising videos of individuals practicing Shankha Prakshalana was used to train and evaluate various machine learning (ML) architectures, incorporating both supervised and unsupervised learning algorithms. Among the evaluated models, the Random Forest classifier demonstrated superior performance, achieving a remarkable recognition rate of 99.6%. This research significantly contributes to the integration of computer vision and yoga practice, offering potential applications that bridge traditional yogic techniques with modern technology. The developed system could have advantages for monitoring and improving yogic practices in various environments, marking a notable advancement in the field of automated pose detection systems.",NA,1520,31
"Curvelet-enhanced transformer architecture for blurred action fine-grained detection","https://www.nature.com/articles/s41598-025-33985-6","31 December 2025","Ren, Yuxiang; Guo, Zhetao; Zhang, Wei; Shen, Yushi; Xing, Ying","10.1038/s41598-025-33985-6","This study proposes a novel Multi Curvelet Transformer Network (MCTN) for fine-grained human behavior recognition in dynamic video scenarios. A key challenge in this field lies in accurately identifying human actions under adverse conditions such as motion blur, occlusion, and varying illumination. To address this, we introduce a motion blur restoration module leveraging the curvelet transform to enhance motion image clarity, thereby improving downstream behavior detection. Furthermore, we enhance the Transformer architecture by embedding curvelet-based multi-scale attention mechanisms, which significantly improve the model’s ability to extract spatial-temporal features at different resolutions. The proposed network also adopts a multi-curvelet transform structure to deepen semantic representation. Experimental results on benchmark datasets, including an action recognition dataset and the MSCOCO dataset, demonstrate that MCTN achieves superior performance, reaching a mean average precision (mAP) of 0.822. These results underscore the potential of MCTN in real-time intelligent video analysis and human-computer interaction applications.",NA,1374,52
